"Species1","Species2","Species3","Species4","Species5","Species6","Species7","Species8","Species9","Species10","Species11","Species12","Species13","Species14","Species15","Species16","Species17","Species18","Species19","Species20","Habitat"
14,6,8,20,3,14,13,5,19,11,14,6,8,20,3,14,13,5,19,11,"Forest"
18,9,8,14,12,20,2,15,14,16,18,9,8,14,12,20,2,15,14,16,"Grassland"
13,8,9,8,4,4,7,20,6,9,13,8,9,8,4,4,7,20,6,9,"Wetland"
2,18,20,14,18,7,13,10,3,19,2,18,20,14,18,7,13,10,3,19,"Forest"
9,3,6,15,19,18,18,3,0,10,9,3,6,15,19,18,18,3,0,10,"Grassland"
17,13,20,19,13,9,14,11,7,7,17,13,20,19,13,9,14,11,7,7,"Wetland"
10,16,5,5,2,17,16,13,19,13,10,16,5,5,2,17,16,13,19,13,"Forest"
4,10,1,10,7,9,10,18,15,20,4,10,1,10,7,9,10,18,15,20,"Grassland"
19,6,4,7,15,11,6,6,10,12,19,6,4,7,15,11,6,6,10,12,"Wetland"
13,20,7,6,11,1,14,8,15,1,13,20,7,6,11,1,14,8,15,1,"Forest"
4,11,11,15,13,9,5,6,19,10,4,11,11,15,13,9,5,6,19,10,"Grassland"
18,14,12,16,2,11,13,1,7,12,18,14,12,16,2,11,13,1,7,12,"Wetland"
8,9,17,17,13,19,6,15,2,13,8,9,17,17,13,19,6,15,2,13,"Forest"
2,12,0,16,6,13,9,12,3,5,2,12,0,16,6,13,9,12,3,5,"Grassland"
7,6,5,1,2,16,4,18,19,7,7,6,5,1,2,16,4,18,19,7,"Wetland"
